EnsemlID,WT_interaction_score
ENSG00000004864,0.405713236
ENSG00000137860,0.598285484
ENSG00000198246,-1.714994686
ENSG00000117394,-0.643376875
ENSG00000181856,2.360539788
ENSG00000158014,0.131991963
ENSG00000164756,1.607959065
ENSG00000164756,-0.477991869
ENSG00000181830,-0.128055746
ENSG00000147804,-1.080871885
ENSG00000142494,0.671854673
ENSG00000140675,2.89484349
ENSG00000105641,2.661986659
ENSG00000115665,1.685583796
ENSG00000163817,-0.319874525
ENSG00000021488,0.604011159
ENSG00000109062,0.159773116
ENSG00000137491,0.815864591
ENSG00000126233,-0.355176486
ENSG00000166949,0.42980343
ENSG00000166949,-0.907035328
ENSG00000141646,-1.170892406
ENSG00000275837,0.854121402
ENSG00000166311,-1.145347356
ENSG00000145335,0.666958857
ENSG00000142168,-0.85174768
ENSG00000095637,0.108957321
ENSG00000164266,6.709726089
ENSG00000167642,3.460907498
ENSG00000166068,1.42100138
ENSG00000136158,-0.985649993
ENSG00000161011,-0.402426322
ENSG00000102359,-0.190624974
ENSG00000149418,4.364133532
ENSG00000147465,0.776673754
ENSG00000115415,1.06644011
ENSG00000168610,-2.786747912
ENSG00000118046,19.78731961
ENSG00000137868,1.092724741
ENSG00000101846,4.104179572
ENSG00000136854,-0.778247935
ENSG00000196502,-0.543116806
ENSG00000198203,0.714264249
ENSG00000100242,-1.328318944
ENSG00000148290,1.364414771
ENSG00000185666,1.491643496
ENSG00000100321,0.098314996
ENSG00000166863,0.8242847
ENSG00000169836,4.757409945
ENSG00000177156,0.470831065
ENSG00000228582,2.681778257
ENSG00000198650,0.068967876
ENSG00000102125,0.228102741
ENSG00000164532,-1.931143241
ENSG00000122145,5.622972915
ENSG00000059377,8.108457348
ENSG00000196628,1.397852155
ENSG00000241186,-1.684689235
ENSG00000092850,-1.271419835
ENSG00000106327,2.458834586
ENSG00000120708,-0.819497792
ENSG00000163513,4.65117073
ENSG00000177426,-1.575047254
ENSG00000177426,-0.334977383
ENSG00000198959,3.553636343
ENSG00000180176,3.615351407
ENSG00000151090,-0.064017774
ENSG00000104980,-0.452353232
ENSG00000126953,3.043221447
ENSG00000035862,0.42416456
ENSG00000100234,-0.316721758
ENSG00000092330,6.48548034
ENSG00000092330,2.223392872
ENSG00000150455,0.328230865
