Genus,Scientific_name,GenerationLength_d
Neofelis,Neofelis nebulosa,2550.887933
Genetta,Genetta cristata,2555
Genetta,Genetta bourloni,2555
Genetta,Genetta johnstoni,2555
Moschus,Moschus anhuiensis,2555
Cryptoprocta,Cryptoprocta ferox,2555
Moschus,Moschus berezovskii,2555
Moschus,Moschus fuscus,2555
Moschus,Moschus leucogaster,2555
Moschus,Moschus cupreus,2555
Mazama,Mazama bricenii,2555
Mazama,Mazama rufina,2555
Elaphodus,Elaphodus cephalophus,2555
Naemorhedus,Naemorhedus caudatus,2555
Ammodorcas,Ammodorcas clarkei,2555
Naemorhedus,Naemorhedus goral,2555
Pseudois,Pseudois schaeferi,2555
Naemorhedus,Naemorhedus griseus,2555
Muntiacus,Muntiacus vuquangensis,2555
Axis,Axis porcinus,2555
Capra,Capra cylindricornis,2555
Capra,Capra caucasica,2555
Kobus,Kobus vardonii,2555
Kobus,Kobus megaceros,2555
Capricornis,Capricornis sumatraensis,2555
Capricornis,Capricornis milneedwardsii,2555
Capricornis,Capricornis thar,2555
Capricornis,Capricornis rubidus,2555
Sus,Sus barbatus,2555
Przewalskium,Przewalskium albirostris,2555
Sus,Sus cebifrons,2555
Sus,Sus philippensis,2555
Oryx,Oryx beisa,2555
Tragelaphus,Tragelaphus eurycerus,2555
Rusa,Rusa alfredi,2555.9125
Antidorcas,Antidorcas marsupialis,2563.152683
Muntiacus,Muntiacus truongsonensis,2583.92125
Macropus,Macropus antilopinus,2584.1922
Leopardus,Leopardus colocolo,2592.96
Dama,Dama mesopotamica,2605.92075
Hippocamelus,Hippocamelus bisulcus,2617.55
Gulo,Gulo gulo,2622.30185
Herpestes,Herpestes naso,2641.875
Martes,Martes flavigula,2642.060567
Castor,Castor canadensis,2657.59975
Saguinus,Saguinus geoffroyi,2659.825
Oryx,Oryx leucoryx,2663.526667
Neofelis,Neofelis diardi,2664.41
Procapra,Procapra przewalskii,2667.1385
Tragulus,Tragulus nigricans,2684.0325
Eira,Eira barbara,2686.602133
Oreotragus,Oreotragus oreotragus,2700.0653
Saguinus,Saguinus mystax,2701.5291
Procyon,Procyon lotor,2703.9188
Hystrix,Hystrix africaeaustralis,2713.29805
Genetta,Genetta abyssinica,2713.4
Lutra,Lutra maculicollis,2725.440866
Herpestes,Herpestes ichneumon,2731.95905
Genetta,Genetta maculata,2764.52
Lutra,Lutra lutra,2772.962083
Nasua,Nasua nasua,2778.4359
Desmodus,Desmodus rotundus,2779.7975
Fossa,Fossa fossana,2785.9588
Paradoxurus,Paradoxurus hermaphroditus,2807.003761
Saguinus,Saguinus imperator,2814.0175
Leopardus,Leopardus geoffroyi,2827.89
Ozotoceros,Ozotoceros bezoarticus,2846.6847
Equus,Equus ferus,2847
Mydaus,Mydaus marchei,2848.54
Nandinia,Nandinia binotata,2850.514083
Myotis,Myotis mystacinus,2864.16
Capra,Capra sibirica,2875.226667
Eupleres,Eupleres goudotii,2894.45
Panthera,Panthera uncia,2920
Ovis,Ovis orientalis,2920
Capra,Capra nubiana,2920
Rusa,Rusa marianna,2920
Ovis,Ovis ammon,2920
Bubalus,Bubalus quarlesi,2920
Bubalus,Bubalus depressicornis,2920
Budorcas,Budorcas taxicolor,2920
Muntiacus,Muntiacus reevesi,2931.795
Viverra,Viverra zibetha,2954.431667
Babyrousa,Babyrousa babyrussa,2958.590833
Macropus,Macropus robustus,2984.65355
Bassaricyon,Bassaricyon alleni,2991.18
Nasua,Nasua narica,2994.435078
Erethizon,Erethizon dorsatum,3011.15825
Leopardus,Leopardus pardalis,3011.876283
Paguma,Paguma larvata,3014.413333
Taxidea,Taxidea taxus,3030.662667
Proteles,Proteles cristata,3030.735933
Coendou,Coendou prehensilis,3031.9718
Bassaricyon,Bassaricyon gabbii,3060.979583
Eulemur,Eulemur coronatus,3062.15
Capreolus,Capreolus pygargus,3063.8029
Potamochoerus,Potamochoerus porcus,3134.383667
Capricornis,Capricornis crispus,3135.631967
Meles,Meles anakuma,3136.8
Genetta,Genetta angolensis,3147.39
Bassariscus,Bassariscus sumichrasti,3150.085533
Tayassu,Tayassu pecari,3177.4107
Genetta,Genetta victoriae,3212
Paradoxurus,Paradoxurus zeylonensis,3212
Arctocephalus,Arctocephalus forsteri,3285
Bubalus,Bubalus arnee,3285
Bos,Bos gaurus,3285
Bos,Bos sauveli,3285
Myotis,Myotis daubentonii,3298.5039
Lynx,Lynx lynx,3338.239417
Hyaena,Hyaena hyaena,3351.042633
Lasiorhinus,Lasiorhinus latifrons,3354.315
Lynx,Lynx canadensis,3391.958167
Dendrolagus,Dendrolagus matschiei,3401.503017
Alces,Alces americanus,3410.5727
Genetta,Genetta poensis,3423.7
Elaphurus,Elaphurus davidianus,3530.65
Vombatus,Vombatus ursinus,3542.014
Delphinus,Delphinus delphis,3545.59095
Cephalorhynchus,Cephalorhynchus commersonii,3553.38
Mellivora,Mellivora capensis,3570.785
Panthera,Panthera onca,3581.681317
Aonyx,Aonyx cinerea,3650
Lutra,Lutra sumatrana,3650
Lontra,Lontra provocax,3650
Lutrogale,Lutrogale perspicillata,3650
Lontra,Lontra felina,3650
Arctictis,Arctictis binturong,3650
Helarctos,Helarctos malayanus,3650
Axis,Axis axis,3650
Melursus,Melursus ursinus,3650
Tremarctos,Tremarctos ornatus,3650
Bubalus,Bubalus mindorensis,3650
Eumetopias,Eumetopias jubatus,3650
Bos,Bos mutus,3650
Equus,Equus kiang,3704.385
Kobus,Kobus ellipsiprymnus,3821.3904
Pteropus,Pteropus rodricensis,3833.0013
Phocoenoides,Phocoenoides dalli,3855.4877
Arctocephalus,Arctocephalus tropicalis,3913.16785
Tapirus,Tapirus pinchaque,4015
Tapirus,Tapirus terrestris,4015
Ommatophoca,Ommatophoca rossii,4015
Tapirus,Tapirus bairdii,4015
Monachus,Monachus monachus,4015
Tapirus,Tapirus indicus,4015
Lama,Lama guanicoe,4064.145
Myrmecophaga,Myrmecophaga tridactyla,4124.5275
Potos,Potos flavus,4160.295433
Genetta,Genetta genetta,4194.899833
Cercopithecus,Cercopithecus campbelli,4239.809
Pteropus,Pteropus giganteus,4260.47645
Arctocephalus,Arctocephalus australis,4269.8894
Cercopithecus,Cercopithecus nictitans,4274.28285
Tolypeutes,Tolypeutes matacus,4287.958
Genetta,Genetta pardina,4294.58
Pontoporia,Pontoporia blainvillei,4380
Neophoca,Neophoca cinerea,4599
Lagenorhynchus,Lagenorhynchus acutus,4647.94135
Choloepus,Choloepus didactylus,4669.36675
Callorhinus,Callorhinus ursinus,4745
Okapia,Okapia johnstoni,4764.235717
Lipotes,Lipotes vexillifer,4840.09
Crocuta,Crocuta crocuta,5054.41125
Choeropsis,Choeropsis liberiensis,5062.938695
Choloepus,Choloepus hoffmanni,5095.5978
Hydrurga,Hydrurga leptonyx,5110
Ailuropoda,Ailuropoda melanoleuca,5246.699417
Zalophus,Zalophus californianus,5306.69155
Rhinoceros,Rhinoceros sondaicus,5400.53
