"phenotypeID" "num_of_snps" "num_of_pos_snsps" "proportion_of_pos_snps" "mean_beta" "pos_to_neg_effect_weight"
"149" "PGS000761" 851 489 0.574618096357227 -5.08160889793595e-05 0.494612721867768
"150" "PGS000795" 1 1 1 5.52 Inf
"151" "PGS000798" 1 1 1 0.048790164169432 Inf
"152" "PGS000804" 2 2 1 0.0295 Inf
"153" "PGS000805" 2 2 1 0.0295 Inf
"154" "PGS000806" 2 2 1 0.0355 Inf
"155" "PGS000807" 2 2 1 0.0235 Inf
"156" "PGS000808" 2 2 1 0.043 Inf
"157" "PGS000816" 1 1 1 0.0029 Inf
"158" "PGS000818" 1 1 1 0.045 Inf
"159" "PGS000819" 2422 1331 0.549545829892651 1.30359508009909e-08 1.27327718475576
"160" "PGS000820" 652 307 0.470858895705521 5.60424032208589e-06 1.25800889977043
"161" "PGS000821" 631 294 0.465927099841521 -4.39803486529317e-08 0.998391490784779
"162" "PGS000822" 1 0 0 -0.017 0
"163" "PGS000868" 1 1 1 0.048790164169432 Inf
"164" "PGS000877" 1 1 1 1 Inf
"165" "PGS000879" 1 1 1 0.085 Inf
"166" "PGS000882" 835 395 0.473053892215569 -2.67544910179641e-06 0.889831344314035
"167" "PGS000883" 1160 584 0.503448275862069 1.83996638189655e-05 1.28413536964919
"168" "PGS000884" 68 33 0.485294117647059 -0.000176665 0.766013504472307
"169" "PGS000885" 10 5 0.5 -0.00036011 0.763376635323648
"170" "PGS000899" 1 1 1 0.049 Inf
"171" "PGS000906" 1 0 0 -0.0223951 0
"172" "PGS000907" 1213 604 0.497938994229184 -4.94641384995878e-06 0.890176267091318
"173" "PGS000908" 2183 1203 0.551076500229043 2.38662391204764e-07 1.00710293115201
"174" "PGS000909" 2270 1109 0.488546255506608 7.30176211453744e-06 1.18066182721863
"175" "PGS000910" 598 296 0.494983277591973 -4.34598662207358e-05 0.666371408765309
"176" "PGS000921" 1373 729 0.530954115076475 3.18258489439184e-06 1.0506009058882
"177" "PGS000926" 4 3 0.75 0.0001586053 1.51720412575532
"178" "PGS000928" 2 1 0.5 0.0084872945 6.463405881181
"179" "PGS000931" 1 0 0 -0.005313296 0
"180" "PGS000932" 2 1 0.5 0.0011261985 1.62455083660365
"181" "PGS000936" 12 8 0.666666666666667 0.00256708216666667 2.29188970523849
"182" "PGS000937" 7 2 0.285714285714286 -0.00138848957142857 0.792884621814324
"183" "PGS000938" 9 5 0.555555555555556 0.00266725401111111 1.95772599563607
"184" "PGS000942" 2 0 0 -0.00210906 0
"185" "PGS000944" 1 1 1 0.002875669 Inf
"186" "PGS000947" 1 0 0 -0.004924028 0
"187" "PGS000948" 1 1 1 0.00153073 Inf
"188" "PGS000949" 2 1 0.5 7.79449999999994e-06 1.01455449556428
"189" "PGS000951" 21 10 0.476190476190476 -0.0577970473333333 0.162073660872129
"190" "PGS000952" 23 12 0.521739130434783 -0.072292814 0.16446031728428
"191" "PGS000953" 17 6 0.352941176470588 -0.0316544126470588 0.40428121978246
"192" "PGS000954" 24 11 0.458333333333333 -0.028533173625 0.532857771105368
"193" "PGS000955" 20 11 0.55 -0.02508240397 0.560607274516239
"194" "PGS000956" 24 15 0.625 -0.0221687459166667 0.663363335453353
"195" "PGS000957" 12 7 0.583333333333333 0.002422374975 1.88886915186984
"196" "PGS000958" 13 7 0.538461538461538 0.00176578993076923 1.76828421961808
"197" "PGS000960" 1 0 0 -0.008422303 0
"198" "PGS000961" 1 0 0 -0.008483188 0
"199" "PGS000962" 3 2 0.666666666666667 0.008624904 25.493104936729
"200" "PGS000963" 1 0 0 -0.001417172 0
"201" "PGS000965" 4 4 1 0.0096529595 Inf
"202" "PGS000967" 5 4 0.8 0.00698486928 51.8476707763904
"203" "PGS000968" 2 0 0 -0.0005846143 0
"204" "PGS000969" 45 18 0.4 -0.000944599516222222 0.784842952071529
"205" "PGS000970" 13 7 0.538461538461538 -0.000921288863076923 0.369668865872751
"206" "PGS000971" 13 6 0.461538461538462 -0.000246382146923077 0.366495580784751
"207" "PGS000972" 1 0 0 -0.001737431 0
"208" "PGS000975" 16 5 0.3125 -0.000128143168375 0.707389024289081
"209" "PGS000978" 4 3 0.75 0.0035441255 3.26870495077392
"210" "PGS000980" 1 0 0 -0.002262357 0
"211" "PGS000982" 1 1 1 0.002094018 Inf
"212" "PGS000983" 6 3 0.5 -0.000119376266666667 0.833884074741331
"213" "PGS000984" 6 3 0.5 -0.000116316733333333 0.616076837839234
"214" "PGS000985" 3 1 0.333333333333333 -0.0009771676 0.183274776108429
"215" "PGS000986" 2 1 0.5 -0.0003753736 0.224905532589708
"216" "PGS000987" 18 4 0.222222222222222 -0.021584813065 0.0916142339307718
"217" "PGS000988" 5 4 0.8 0.00044872104 8.10252706415527
"218" "PGS000989" 4 3 0.75 0.0008769479 16.8150182167553
"219" "PGS000991" 2 2 1 0.00219874075 Inf
"220" "PGS000993" 3 2 0.666666666666667 0.000584885566666667 1.83491667043365
"221" "PGS000994" 2 1 0.5 0.0030953245 4.13210005276959
"222" "PGS000995" 6 2 0.333333333333333 -0.00203105366666667 0.40099958563597
"223" "PGS000997" 11 6 0.545454545454545 0.00234703447272727 2.14906066060141
"224" "PGS000998" 27 11 0.407407407407407 -0.000170665711481481 0.752651522482067
"225" "PGS000999" 17 10 0.588235294117647 0.000499043763529412 2.09902147579456
"226" "PGS001000" 9 5 0.555555555555556 1.37414366666666e-05 1.03163803011408
"227" "PGS001001" 2 1 0.5 -0.0009060869 0.166463684162351
"228" "PGS001002" 29 12 0.413793103448276 -0.00273964977241379 0.578341151493781
"229" "PGS001003" 9 3 0.333333333333333 -0.000816903655555556 0.582394828305635
"230" "PGS001004" 8 4 0.5 -0.001719258694375 0.140993969063698
"231" "PGS001006" 2 1 0.5 -0.0009507765 0.50117089752371
"232" "PGS001007" 2 0 0 -0.00221594025 0
"233" "PGS001008" 6 3 0.5 0.000269971 1.66427834316762
"234" "PGS001009" 8 3 0.375 0.02188750375 1.29955179463485
"235" "PGS001010" 15 8 0.533333333333333 -7.65933113333333e-06 0.897666065664021
"236" "PGS001012" 2 1 0.5 -0.00029385644 0.0872590712610318
"237" "PGS001016" 12 5 0.416666666666667 9.05526208333333e-05 1.21190581552497
"238" "PGS001017" 2 1 0.5 6.80644e-05 1.16023290887854
"239" "PGS001018" 3 2 0.666666666666667 0.00206550736666667 13.9314611006801
"240" "PGS001019" 6 5 0.833333333333333 0.0024898611 14.3325776594577
"241" "PGS001021" 9 5 0.555555555555556 -0.00113235595555556 0.474116924708361
"242" "PGS001022" 11 7 0.636363636363636 -8.53044454545454e-05 0.910757561578163
"243" "PGS001024" 3 2 0.666666666666667 0.00281746033333333 2.97989021614779
"244" "PGS001028" 1 1 1 0.006429042 Inf
"245" "PGS001032" 1 0 0 -0.01094095 0
"246" "PGS001034" 7 1 0.142857142857143 -0.00083380159 0.0013983725588686
"247" "PGS001035" 5 1 0.2 -0.00032956352 0.382323407781098
"248" "PGS001037" 23 12 0.521739130434783 -0.00408200238695652 0.164379227565234
"249" "PGS001038" 24 11 0.458333333333333 -0.00160991584583333 0.533098846636469
"250" "PGS001039" 24 15 0.625 -0.00125096935416667 0.663484362839062
"251" "PGS001040" 3 1 0.333333333333333 0.0005844323 2.58995436887279
"252" "PGS001046" 5 1 0.2 -0.0018678696 0.105329342734226
"253" "PGS001047" 1 1 1 0.005099231 Inf
